Status,Spam,Message
receive,1,RAMADAN THE MONTH OF FORGIVENESS AND BONANZA.For Ramadan Daily Prayer Guide. Text Ramadan to 35242.cost N100 /Ramadan Period.Content delivery starts next day
receive,1,Making money can be made easier with the right information and skills so text Money Shop Today.Text YES to 5038 to subscribe. N50/wkly.Text STOP to unsubscribe
send,0,verse wat is d Alfa nw just shake ur mouth 4rm dier
receive,1,Visit https://mtnnigeria.weballynis.gemalto.com/CloudBackup/ login 2347XXXXXX17 password thkDys to access your saved data
receive,1,MTN Backup  service to protect your personal data (contacts  calendar ...) detected your new handset. You will receive a message to configure it and to retrieve your previous data.
receive,0,SWW! Ramadan Kereem! the moon has been sighted and confirmed by sultan. first of Ramadan is Saturday 28/6/2014
send,0,Walaikum salam w w jazakumllah kairan
receive,0,SWW! Ramadan Kereem! the moon has been sighted and confirmed by sultan. first of Ramadan is Saturday 28/6/2014
send,0,Acct name agbaje Tosin rasheed acct no 3044358234 bank name 1st bank abeg 2mao morning by 8am I go dey expect am so sorry 4 d inconvinencies
send,0,Gud mornin dis my acct details Acct name agbaje tosin  acct number 30XXXXXX34 bank name 1st bank
receive,0,Come.See.Experience..Acquire! Share the fun & gains @ the Convocation Research & Agric. Fair @ 10am 2day. Venue: Ceremonial Building. Don't be told. Be there.
receive,1,Dear subscriber  you have just been credited with 10MB of data
send,0,Acct name agbaje tosin acct no 30xxxxxxx34 bank name 1st bank
send,0,venue. no 12 seriki aro abass street off osolo road 7/8 bus stop airport rd ajao estate.
send,0,venue. no 12 seriki aro abass street off osolo road 7/8 bus stop airport rd ajao estate.
send,0,venue. no 12 seriki aro abass street off osolo road 7/8 bus stop airport rd ajao estate.
receive,0,venue. no 12 seriki aro abass street off osolo road 7/8 bus stopairport rd ajao estate tell odas call ds no 08032713606
receive,1,To continue your subscription to Glo Backup service  please go to the following URL to configure your handset: http://backup-globacom-ng.weballynis.gemalto.com
receive,1,Glo Backup saves contacts and restores them if you change or lose your phone. Backup costs N50. More info: http://www.gloworld.com/globackup.
receive,1,Get the latest breaking local & international news  text NEWS to 30327; for latest news & gossips on artistes & celebrities  text CELEB to 30327. N20 for 5days
receive,1,Are you searching for LOVE or in LOVE and you don't know how to keep it? Text DL to 30327 for LOVE ADVICE. Service cost N20/day. Powered by Etisalat
receive,1,Be healthy & safe at all times  text HSE to 30328 to start getting safety tips; Be healthy & beautiful all day  text HBE to 30328 to get started. Cost:N20/3days
receive,1,Our precious gifts require the most delicate care & attention. Find out the best tips on how to Take Care of Your Baby. Send 6 to 33555 @ N50/week.
receive,0,williams Frank 07xxxxxxx344...akplor kingsley 081XXXXXX61
receive,0,Please call me. Join D'banj and help change Africa. Say YES now! Dial *345# to support change and get a FREE Dbanj track 
receive,0,Please call me. Join D'banj and help change Africa. Say YES now! Dial *345# to support change and get a FREE Dbanj track 
receive,1,Dear Customer  Enjoy minimum Free Internet for 6-12 months as you buy the Latest Samsung  Nokia & other devices from Gloworld Shops. Glo gives you MORE.
receive,0,Project breakfast briefing will come up on Friday 30 May 2014 by 9am. Pls come early. Frm. Femi
send,0,Agbaje Tosin rasheed matric no 2010/2648
receive,1,OKGenuine Lumartem.Your PIN:200XXXXXXX755 NRN:A4-4845Problem? Call 08039012929NAFDAC & CIPLA CareSproxil SMS
send,0,Acct name Agbaje Tosin rasheed  acct number 30XXXXXX34 bank name 1st bank
receive,0,We show our profound gratitude for gracing our wedding programme thru ur prayer  presence &gift. Thanks for being part of our joy.Thanks.Mr.&Mrs Bunmi Oluwalana
receive,1,Enjoy Aljazeera news for 7 days FREE on easynews from Etisalat and get 2 products free for 30 Days. Text Aljazeera to 655
receive,1,America - land of opportunity. Learn about America - how to visit  school  work or relocate. Get 5 days FREE and then N50/5 day. Text AME to 38888.
receive,0,Join us as we celebrate the union between Esther Falana and Bunmi Oluwalana on 17th May @ RCCG Olorunnisola Atitebi Bankole Str  Ipaja Ayobo by 10am.08XXXXXXX80
receive,1,Still haven't done so? Hurry & recharge with at least N100 now! Important! 8165440271  it's your lucky day for FREE 20% extra bonus to call MTN2MTN!
receive,1,Still haven't done so? Hurry & recharge with at least N100 now! Important! 8165440271  it's your lucky day for FREE 20% extra bonus to call MTN2MTN!
receive,1,81XXXXXX71  you have been selected! Lucky you! Just recharge with at least N100 today! Enjoy FREE 20% extra credit for MTN2MTN calls!
receive,0,70XXXXX653
receive,0,Hi friendz. Hope ur preparatn 4 d eXam is going smoothly. Ur SUCCESS in ds EXAM is undoutable bcos u'll perform excellently well by GOD's grace- Amen!
receive,0,Salaam alykum dis is 2 wish u suxes in d forthcoming examination may Allah{SWT}grant u success in all ur endeavor in life n hereafter
receive,1,Your Diamond Online/Mobile user name is tosrasheed.Set up your password within 30 days on the Diamond online log in screen to prevent account deactivation
receive,1,Welcome to Diamond. Your new account no is 00XXXXXX20  You will receive your e-banking details shortly.Please save our Contact Centre no 07003000000 f enquiries
receive,0,You are invited for interview @ GNI PLC on friday 25th & monday 28th @ 28 Afolabi Aina Str  Behind Alade Market Allen Junction Ikeja.Time 10am prompt by Mr.Chinedu Manager-08033735938.
receive,1,Tonight 7.45 Champions Lge Semi Final 1st Leg Ath. Madrid v Chelsea. For live match SMS/news and Mp3s  first text SUB to 30181 to register. Just N50/wk!
receive,1,This Sunday on Glo: Moyes Man Utd take on his old team Everton at 4.10pm! For live match SMS/news and Mp3s  text SUB to 30181 to register. Just N50/wk!
receive,1,"John invited you to Facebook. Learn more: http://fb.com/l/1J510vdhBlkg41Y . Reply ""stop"" to stop getting Facebook texts"
receive,1,Get 75% bonus plus 5MB data on every recharge to call ANY network in Nigeria. Recharge N1000  get N1000+ N750! Recharge N100  get N100+ N75  Recharge Now!
receive,1,Please call me back. Get discounted products like Electronics  Gadgets  Clothes  Travel tickets etc  sms Menu to 2220. N100/Month.
send,0, Acct name Aremu nasirlahi tosin acct number 01XXXXXX47
receive,1,WhatsApp code 144-419
receive,1,"VALENTINE OFFER! Get SHARP 24"" LED @ 25 990/ & A SPECIAL DISCOUNT ON SAMSUNG A/C:IKEJA CITY MALL 08023663840 ALLEN AVENU 08129121623  HURRY LIMITTED STOCK ONLY!!!"
receive,0,I want make u elp me check my CGPA b4 u leave nd it urgent.
receive,1,For 10mb Daily data plan @N100  dial *229*3*1# or text 'MI1' to 229. For 50MB 7 Day data plan @N500  dial *229*3*4# or text 'MI2' to 229. Opt out code: *229*0#
receive,1,Text to 229: 'MB2' for 200mb @N1000;  'MB3' for 500mb @N2000; 'MB4' for 1.5GB @N4000; 'MB5' for 3GB @N6500; 'MB6' for 6GB @N8000; 'SM1' for 10GB @N10000; 'SM2' for 15GB @N15000; 'SM3' for 20GB @N20000. 'MB7' for 3GB Night & Wkend (9pm-7am) @N4000. All plans listed are valid for 30 days. To opt out  dial *229*0#
receive,1,Text 'smarta' to 8183 @N1000 for 200MB. For 500MB  Text 'smartb' to 8183 @N2000.For 1.5GB  Text 'smartc' to 8183 @4000. For 3GB  Text 'smartd' to 229 @N6500. For 6GB Text 'smarte' to 8183 @N8000..
receive,1,Text to 229: 'SMART' for smartphone plans; 'MONTHLY'  for monthly plans; 'MOBILE' for daily & weekly plans;  'fb' for facebook plans; 'OM' for Opera Mini plans
receive,0,It's Officially noted dat 20014 is in and seated with us.it brings all good life packages.Happy New year
receive,1,"Get ""Ari Belema"" as your Callertune. Text 3 to 4100.Tune/service Cost N50 monthly."
receive,1,95% OFF! With just N5  download 2HD songs & stream unlimited music for 7days. Simply text e to 5900 to try. Applies to all phones.
receive,1,Y’ello  Welcome to 25MB Whatsapp Monthly . Expires 2016-03-28. Dial *599*25# to check your data.
receive,1,Your recharge of NGN100.00 was successful. You have received NGN  10.00 Bonus for calls to all networks. This is valid for 7 days. To view your bonus please Dial *559*4#
receive,1,Yello! You have used up your BB10 data plan but you will now continue enjoying data at N0.004882813 kobo/KB until the data plan expires on 2016-03-03
receive,1,Yello! you have used 95% of your BB10 data plan  when exhausted  click http://bit.ly/1Mv9Y7B to buy another bundle or text RESET to 131 to browse ¡ 5kobo/KB.
receive,1,Yello! you have used 75% of your BB10 data plan  when exhausted  click http://bit.ly/1Mv9Y7B to buy another bundle or text RESET to 131 to browse ¡ 5kobo/KB.
receive,1,Yello! you have used 50% of your BB10 data plan  when exhausted  click http://bit.ly/1Mv9Y7B to buy another bundle or text RESET to 131 to browse ¡ 5kobo/KB.
receive,1,Your request is now being processed. Please do not send another. We will send you a confirmation once completed. Thank you!
receive,1,Sorry  you do not have enough credit to renew your BlackBerry subscription. Please load a recharge card and send BBLITED to 21600 for service renewal. Thank you.
receive,1,Welcome to MTN BlackBerry BBLITED. You have 10MB inclusive data bundle  Costs N70.0. Auto renew your Subscription and enjoy wonderful discounts. Thank you!
receive,1,Y'ello! Please note that your MTN BlackBerry BBLITED service will be renewed on Wed 10:52 PM  24 Feb 2016 and N70.0 will be deducted from your account.Ignore this message to renew  or text NO to 21600 to cancel the service. Thank you!
receive,1,Your request is now being processed. Please do not send another. We will send you a confirmation once completed. Thank you!
receive,1,Ref: 661711383 27/02 15:29:25 Bonus Acc: Dial *559*4# Amt: N100.00 Prev bal: N6.57 Bal: N106.57 From: MTN VTU TopUp
send,1,Unscubscribe with 2
receive,1,Do ensure you subscribe to an MTN Data Bundle to avoid being charged out of bundle rates for browsing or for mobile app updates on your new smart phone. Visit www.mtnonline.com/tips for tips to help you avoid extra charges due to your smart phone.
receive,1,Yello welcome to MTN please SAVE the setup information that will be sent shortly  to enable data services on your phone.Security code is 0000.Thank you.
receive,1,Your Balances are BB Absolute/Complete: 1637MB till 16-Mar. BB Plan: 0MB till 24-Feb. BB Plan: 0MB till 24-Feb. 
receive,1,Dear customer  you have used up 100% of your FUP limit. Your BlackBerry UNLIMITED plan expires on Feb 24 2016.
receive,1,Your Balances are BB Absolute/Complete: 1637MB till 16-Mar. BB Plan: 29MB till 24-Feb. BB Plan: 10MB till 24-Feb. 
receive,1,Dear subscriber  your current Airtel Unlimited same day service expires on Thu 25 Feb 2016. To disable auto renewal  please send stopautorenew to 440
receive,1,You have successfully subscribed to BB Unlimited daily plan. Please restart your phone to get this service running. Visit www.onetouch.ng for more details.
receive,1,Your Airtel Unlimited plan is active. Re-insert your battery. This plan is usable on Blackberry devices and other device type.
receive,1,Your Balances are BB Absolute/Complete: 1637MB till 16-Mar. BB Plan: 0MB till 24-Feb. BB Plan: 0MB till 24-Feb. 
receive,1,Dear subscriber  your current Airtel Unlimited same day service expires on Thu 25 Feb 2016. To disable auto renewal  please send stopautorenew to 440
receive,1,You have successfully subscribed to BB Unlimited daily plan. Please restart your phone to get this service running. Visit www.onetouch.ng for more details.
receive,1,Your Airtel Unlimited plan is active. Re-insert your battery. This plan is usable on Blackberry devices and other device type.
receive,1,Your Balances are BB Absolute/Complete: 1637MB till 16-Mar. 
receive,0,As God adds another year to your years may God increase you on all sides and may you live a fruitful and fulfilled life. HBD sir
send,0,Gud evng ma  u r to follow Adeoye (08XXXXXXX81) up nd giv report concerning him. Tnx nd God bless.
receive,0,Gud day sir u will anchor intercessory prayer tomorrow
receive,0,Its true dat u r prayerful.Thank God for ur life  but you also need to be infused with mighty power in your inner man by God's spirit.that is wat we do wen we come together to pray we strenghten ourselves tru prayers.prayer unit meeting is 6p.m today@MCF gate.abk.be punctual
send,0,caleb08XXXXXX00 bukunmi081XXXXXXX00 adeoye 081XXXXXX81 tosin07XXXXXX98 feranmi08XXXXX20 olayinka08XXXXXX22 Olasupo08XXXXXX27 Modupe08XXXXXXX61
send,0,Gud evng ma  u r to follow Olayinka (08XXXXXXX22) up nd giv report concerning him. Tnx nd God bless.
receive,0,Today..in less than 2 hours campus leaders from all over gathers for a summit..KINGDOM ROUNDTABLE..prepare 2 b part of it|8am sharp@the Eden Metro Camp.b der
receive,0,dear leader..prepare 2 attend ds prophetic edition of KINGDOM ROUNDTABLE.ds Sat|8am@the Eden metro garden camp.wen leadas get it ryt.our generatn wil get it ryt
receive,0,gud pm omo olojo ibi oni pls can we see tomorrow evening?
receive,0,hapi birthday in advance may d lord increase u in every ramification may u live to fulfill destiny more of it in good health and wealth.
receive,1,Sorry  The Command you have entered is incorrect.
send,1,GLOFT GameloftOrder P7JH96GB3PFB8MKQR8F1HSE6MVVGEGJ4T1TF9KCA70S624PP8HV53EE7RC====== 
receive,0,D typ of ur previous laptop dey. 40k hoc
receive,0,Check out WhatsApp Messenger for your smartphone. Download it today from https://whatsapp.com/dl/
receive,0,Check out WhatsApp Messenger for your smartphone. Download it today from https://whatsapp.com/dl/
receive,0,The Lord will bless u indeed and make all things easy at dis time for u  God's divine favour will speak for u... Happy Birthday love.... 
receive,0,Acct: ******1594Amt: NGN31 000.00 DrDesc: FASTTRACK CASH WDL-PINPAD-30630742-906/7871 CASH WITHDRAWAL BY ODULUSI  GBENGA PETERAvail Bal: NGN154.23
receive,0,Dear Odulusi  Gbenga Peter we realize how important today is to you. Birthdays come once in a year  so we celebrate you today. Happy birthday  and have an amazing year.
receive,0,Acct: ******1594Amt: NGN150.00 CrDesc: TRANSFER BETWEEN CUSTOMERS-USSD GTBank Transfer from : 08134703563  from AKANBI JOSHUA OLALEKAN  to  ODULUSI  GB
receive,0,Its a grt day indeed dat ppl wil cme 2geda2wish u wel 2pt smile on ur face by toastin 2u many mre years  nd sharing ur joy on thz special day dat makes ur worldgreat. Happy birthday.long life n prosperity.God bless u
receive,1,Dear Customer  you do not have to withdraw cash to make payments. Use your GTBank Naira MasterCard to pay at local POS terminals and enjoy cashback
receive,1,Dear Customer  you do not have to withdraw cash to make payments. Use your GTBank Naira MasterCard to pay at local POS terminals and enjoy cashback
receive,0,Healthwise  in finances in career  as a person  a covenant friend & evri personalty u represent  may God enlarge ur coast & make ur successes limitless. HBD bro
receive,0,Happy birthday bro  May the good Lord bless you  He will enlarge your coast  make your enemies ur footstool  you shall dominate  ur generatn will be blessed 2ru you. You are a success manifesting in ur family  LLNP bro. Thank God i no forget
receive,0,This is 2 inform us that there wil b an emergency sitting 2moro 20th feb 2016 @ d congress hall sub by 10am. Clerk
receive,0,Dis is 2 inform us dat our inaugural sitting 4 d 2015/2016 legislative yr is cumin up on d 17th feb 2016 @ coleng auditorium by 1pm. Be punctual pls
receive,0,There are three things life brings us: tears  smiles and memories. Tears gets wipe away. A smile fades away. But memories last a lifetime. With d little memories we've shared  I've discovered DAT ur presence on earth is surely 4 a reason. Therefore  am so happy 2 witness ur day. I pray DAT God almighty will continue to keep and protect u @ all tyms. Happy birthday dear! Wish dat all ur hrt desires cum true... LLNP! *Sukiyo*
receive,0,I wanna use dis medium 2 tel u DAT u mean a lot 2 me. I love u ...Hapi Valentine's day
receive,1,EDUCATION ON THE GO! Get education on the-go  using GLO's 24x7 Mobile Tutor. For Weekly (N75)or monthly (N150) subscription send EDUW or EDUM to 4244 via SMS
receive,1,YOUR OWN RADIO Listen or dedicate music  choose from vast collection of different geners.Dial 77011 at just N1/min for browsing  weekly pack (N25) Dedicate (N100)
receive,1,Make calls to EVERYONE in Nigeria @ 11k/s & @ 20k/s to US  UK landlines  India  Canada & China. Dial *100*6*1# to enjoy. N5 daily fee applies on 1st call only
receive,1,BEST DATA OFFER from Glo! Get 4.5GB of internet for just N2500 valid for 30 days. Chat  Surf  Stream & much more ! Dial *777# & start fun on Internet
receive,0,As you add anoda year  may u search God n find Him  u'll be lifted  above  ur imagination  may u manifest & operate in unending glory.  Happy Birthday. LLNP.
receive,0,Gudmornin 2u oh comrade of d Cross. Ao was our night? trust it was revealing? It is well.=>Sorry 4 dis short notice.But i bliv u wl undastnd.=>Dea is goin 2b a prayer metin on Saturday 4 All d evang.sec and dea Asst.Time:-10am. 20/02/2016Venue:- BSF centre@gate.SHALOM! 4rm: ICJCF EVANG.UNIT
receive,0,Dear MR ODULUSI  we wish you a world filled with joy & laughter. Happy Birthday  from all of us at Leadway Pensure PFA! (TEL:01xxxxxx00)
send,0,This is a home line 01XXXXXX94
receive,0,Please call me. Strengthen your faith as you fast with Amen Praise. Text  026077 to 4100 as your callertune at N50/Month.
send,0,Gud evng ma  u r to follow Olasupo (08XXXXXX27) up nd giv report concerning him. Tnx nd God bless.
send,0,Gud evng ma  u r to follow Feranmi (08XXXXXXX20) up nd giv report concerning her. Tnx nd God bless.
send,0,Gud evng ma  u r to follow Tosin (07XXXXXX98) up nd giv report concerning her. Tnx nd God bless.
send,0,Gud evng ma  u r to follow Bukunmi (08XXXXXXX00) up nd giv report concerning her. Tnx nd God bless.
send,0,Plz  help me to coordinate d meeting......I wil join u by 4pm ma. Tnx
send,0,Gud afternoon ma  I wil nt  b able 2b @bible study preview diz evnin. I hv  an emergency meeting dat I hv  to attend by 6pm. Say me I to d house nd God bless
receive,0,Gud pm. Aw has ur day been? Dis is to remind u of d bible study preview wc will take place tomorrow on our land. D time is 6:00pm. Pls let's b punctual. Shalom
receive,0,08xxxxxx96...ZHORD
receive,0,Gud day Blvd  d reunion program 4 d fellwshp holds this Sat  20 Feb. 11pm & Sun  21 Feb. @ 8pm. Stay blessed.
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Dear sir/ma  diz z to notify u dt we r to wait immediately after bible study today. May God honour u as u make urself available today!
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,Ikede Pataki!!! Eyi ni lati  ran gbogbo awa omo egbe  dirama leti wipe ipade wa ni dede ago kan osan oni fun igbaradi lati ye awon akeko ti ile-mawuko si ni ola
send,0,"Yes!!! Anoda gr8 opotunity has cum 2wrk in His vineyard. We r 2prayafuli prepare 4a ministratn dt goes inline wit""D VESSEL OF LIGHT""as we luk forward 2welcum dose in mawuko on sunday(feb14). PLZ  endavour 2wait on God nd receive sumtn new cncerng d topic. Time&venu to rehaz ""dz sat by 1pm @felwshp"" Gud 9t"
send,0,"Yes!!! Anoda gr8 opotunity has cum 2wrk in His vineyard. We r 2prayafuli prepare 4a ministratn dt goes inline wit""D VESSEL OF LIGHT""as we luk forward 2welcum dose in mawuko on sunday(feb14). PLZ  endavour 2wait on God nd receive sumtn new cncerng d topic. Time&venu to rehaz ""dz sat by 1pm @felwshp"" Gud 9t"
